Features Attributes County Nam,Features Attributes Positive,Features Attributes Negative,Features Attributes Pending,Features Attributes Lab Prvt,Features Attributes Lab Pub,Features Attributes Recoveries,Features Attributes Deaths,Features Attributes Total Tests,Features Attributes Lcase Name,Features Attributes Pos Range,Features Attributes Neg Range,Features Attributes Border Report,Features Attributes Active Cases,Features Attributes Pop 5yr Est 2018,Features Attributes Shape  Area,Features Attributes Shape  Length
Washington,5139,18333,,16384,7088,4406,37,23472,washington,5139,18333,https://bit.ly/2T74BCM,696,228529,2465023834.31018,227692.739748244
Benton,3832,43039,,43346,3525,3324,25,46871,benton,3832,43039,https://bit.ly/2T74BCM,483,258980,2289858796.17493,259063.794058411
Pulaski,3652,47295,,42855,8092,2660,69,50947,pulaski,3652,47295,Not Applicable,923,393463,2089380947.64233,284069.084631858
Hot Spring,1349,4425,,2579,3195,601,2,5774,hot spring,1349,4425,Not Applicable,746,33520,1610166631.76538,219757.280649162
Sebastian,1144,15239,,14981,1402,734,9,16383,sebastian,1144,15239,https://bit.ly/2T74BCM,401,127461,1411978552.98157,217534.899566746
Lincoln,1119,2138,,2019,1238,1020,11,3257,lincoln,1119,2138,Not Applicable,88,13695,1475144651.05298,200391.193259746
Jefferson,1023,10263,,7508,3778,757,30,11286,jefferson,1023,10263,Not Applicable,236,70424,2370994330.72839,284256.349610199
St. Francis,953,4883,,4748,1088,897,3,5836,saint francis,953,4883,Not Applicable,53,26294,1664523033.28198,200638.765000852
Crittenden,944,6697,,6785,856,816,14,7641,crittenden,944,6697,https://bit.ly/2T74BCM,114,49013,1653092887.37305,250119.071780147
Yell,912,2834,,2760,986,758,12,3746,yell,912,2834,Not Applicable,142,21573,2456264851.60352,285291.072549929
Faulkner,905,12891,,12089,1707,691,4,13796,faulkner,905,12891,Not Applicable,210,122416,1719292673.13306,220407.99062066
Lee,861,2466,,1504,1823,785,5,3327,lee,861,2466,https://bit.ly/2T74BCM,71,9398,1615973756.60767,249884.035819293
Sevier,857,3895,,4497,255,780,9,4752,sevier,857,3895,https://bit.ly/2T74BCM,68,17193,1504881480.02832,254407.216997404
Pope,849,7062,,6804,1107,633,4,7911,pope,849,7062,Not Applicable,212,63644,2147891752.79688,215833.141399886
Craighead,710,12914,,12884,740,552,8,13624,craighead,710,12914,https://bit.ly/2T74BCM,150,105701,1846141670.6062,203046.971315213
Saline,584,11416,,10924,1076,438,3,12000,saline,584,11416,Not Applicable,143,118009,1890391625.52527,259324.450169752
Johnson,485,1864,,1223,1126,380,4,2349,johnson,485,1864,Not Applicable,105,26291,1767434801.76807,208086.242159146
Garland,473,9898,,9675,696,318,5,10371,garland,473,9898,Not Applicable,150,98296,1900949402.75073,198708.79682618
Mississippi,421,4740,,4359,802,288,5,5161,mississippi,421,4740,https://bit.ly/2T74BCM,128,42831,2397434695.37231,293377.92435692
Crawford,353,5990,,5872,471,241,3,6343,crawford,353,5990,https://bit.ly/2T74BCM,109,62472,1565525966.073,218076.568568796
Miller,336,2924,,2641,619,251,2,3260,miller,336,2924,https://bit.ly/2T74BCM,83,43759,1651886723.96448,278617.022939423
Union,306,3501,,3214,593,246,14,3807,union,306,3501,https://bit.ly/2T74BCM,46,39732,2731252909.41418,302655.931877982
Carroll,270,3351,,2788,833,213,6,3621,carroll,270,3351,https://bit.ly/2T74BCM,51,27887,1653084714.83582,212425.446763967
Lonoke,257,5932,,5510,679,190,2,6189,lonoke,257,5932,Not Applicable,65,72206,2079903589.05444,246137.911494215
Chicot,257,1722,,1709,270,183,3,1979,chicot,257,1722,https://bit.ly/2T74BCM,71,10826,1788307859.28882,280731.906180036
Madison,229,2100,,2161,168,213,1,2329,madison,229,2100,Not Applicable,15,16076,2166601172.44824,215220.142258456
Phillips,208,3019,,1778,1449,152,6,3227,phillips,208,3019,https://bit.ly/2T74BCM,50,19034,1885264368.20239,280421.016626451
Greene,171,4803,,4481,493,142,5,4974,greene,171,4803,https://bit.ly/2T74BCM,29,44623,1501198851.64258,195400.850739011
Howard,169,1816,,1612,373,131,1,1985,howard,169,1816,Not Applicable,37,13389,1541631052.86731,247879.823488919
White,169,4886,,4547,508,126,2,5055,white,169,4886,Not Applicable,41,78804,2697526482.04468,339075.602124193
Cleburne,154,2653,,2591,216,121,5,2807,cleburne,154,2653,Not Applicable,28,25230,1532699219.27148,160145.803854315
Lawrence,135,1871,,1724,282,95,9,2006,lawrence,135,1871,Not Applicable,31,16669,1533933452.90283,208244.792392098
Columbia,134,1939,,1313,760,93,5,2073,columbia,134,1939,https://bit.ly/2T74BCM,36,23892,1984584461.05408,189842.983515113
Ashley,134,1945,,1753,326,91,3,2079,ashley,134,1945,https://bit.ly/2T74BCM,40,20537,2434449438.77856,238029.518397571
Hempstead,122,2095,,1722,495,77,1,2217,hempstead,122,2095,Not Applicable,44,22018,1918024030.47583,254684.611749633
Nevada,117,1359,,1209,267,85,6,1476,nevada,117,1359,Not Applicable,26,8440,1606223501.79431,203918.602261097
Cross,115,1686,,1531,270,88,1,1801,cross,115,1686,Not Applicable,26,16998,1612034657.20508,165977.208530094
Drew,113,2176,,1993,296,78,2,2289,drew,113,2176,Not Applicable,33,18502,2164050280.56885,194673.142048166
Arkansas,113,1933,,1737,309,48,1,2046,arkansas,113,1933,Not Applicable,64,18124,2689458657.14087,337890.821693229
Conway,113,2203,,1940,376,84,3,2316,conway,113,2203,Not Applicable,26,20906,1466018646.01843,208726.833050194
Independence,110,3573,,3468,215,69,6,3683,independence,110,3573,Not Applicable,41,37264,1997479703.64404,228003.580116565
Polk,103,1793,,1549,347,87,9,1896,polk,103,1793,https://bit.ly/2T74BCM,16,20163,2230612446.49585,218300.901651637
Logan,103,2535,,2305,333,69,1,2638,logan,103,2535,Not Applicable,34,21757,1893020842.90564,260765.966043996
Desha,102,1339,,1173,268,72,1,1441,desha,102,1339,https://bit.ly/2T74BCM,29,11887,2100180171.29761,393743.785753218
Randolph,97,2272,,2090,279,65,2,2369,randolph,97,2272,https://bit.ly/2T74BCM,30,17603,1698810411.33374,217781.913013329
Bradley,97,1384,,954,527,62,2,1481,bradley,97,1384,Not Applicable,33,10948,1689743159.67859,251246.751516417
Clark,97,2232,,1944,385,73,6,2329,clark,97,2232,Not Applicable,24,22385,2285025128.83716,305327.404740804
Poinsett,92,1973,,1839,226,66,3,2065,poinsett,92,1973,Not Applicable,23,24054,1978621315.45654,195984.20857495
Clay,89,1871,,1809,151,70,3,1960,clay,89,1871,https://bit.ly/2T74BCM,16,15061,1662039088.03271,230200.839663875
Sharp,80,1312,,1244,148,53,5,1392,sharp,80,1312,https://bit.ly/2T74BCM,22,17043,1570672403.03687,220017.018631529
