college,ADDR,CITY,STABBR,address,lat,long,address_paste,fall18_enrollment,active_cases,cumulative_cases,cumulative_tests,quarantine_contacts,oncampus_quarantine_contacts,oncampus_isolation,as_of_date,dashboard_link,notes
Arkansas Baptist College,1600 Dr. Martin Luther King Jr. Drive,Little Rock,AR,"1600 Dr. Martin Luther King Jr. Drive, Little Rock, AR",34.7354335,-92.2894837,"1600 Dr. Martin Luther King Jr. Drive, Little Rock, AR",525,,,,,,,,,Fall term is online
Arkansas Colleges of Health Education,7000 Chad Colley Blvd.,Fort Smith,AR,"7000 Chad Colley Blvd., Fort Smith, AR",35.3158606,-94.3191504,"7000 Chad Colley Blvd., Fort Smith, AR",318,0,18,,,11,,11/2/20,https://acheedu.org/covid-19/,
Arkansas Northeastern College,2501 S Division,Blytheville,AR,"2501 S Division, Blytheville, AR",35.8981558,-89.9212352,"2501 S Division, Blytheville, AR",1422,,,,,,,,,
Arkansas State University-Main Campus,2105 E. Aggie Road,Jonesboro,AR,"2105 E. Aggie Road, Jonesboro, AR",35.8414567,-90.6806034,"2105 E. Aggie Road, Jonesboro, AR",13709,39,686,,,,,11/2/20,https://www.astate.edu/safety/novel-coronavirus/campus-covid-19-report/,"9 students living on campus, 17 students living off-campus, 13 employees; cumulative is cases since June 1"
Arkansas State University-Beebe,1000 Iowa Street,Beebe,AR,"1000 Iowa Street, Beebe, AR",35.0704545,-91.8951177,"1000 Iowa Street, Beebe, AR",3446,16,55,,,,,10/30/20,http://www.asub.edu/coronavirus-information/covid-19-reporting.aspx,"15 active cases of students living off campus, 1 employee; cumulative since Aug. 24"
Arkansas State University-Mountain Home,1600 South College Street,Mountain Home,AR,"1600 South College Street, Mountain Home, AR",36.3199781,-92.386916,"1600 South College Street, Mountain Home, AR",1345,,,,,,,,,
Arkansas State University-Newport,7648 Victory Blvd,Newport,AR,"7648 Victory Blvd, Newport, AR",35.6402218,-91.1905973,"7648 Victory Blvd, Newport, AR",2270,11,,,,,,10/30/20,https://www.asun.edu/coronavirus,"8 students, 3 employees; no cumulative cases listed"
Arkansas State University Mid-South,2000 W.  Broadway,West Memphis,AR,"2000 W.  Broadway, West Memphis, AR",35.1456656,-90.2238067,"2000 W.  Broadway, West Memphis, AR",1423,,,,,,,,,
Arkansas Tech University,Administration Bldg 200; 1509 N Boulder Ave,Russellville,AR,"Administration Bldg 200; 1509 N Boulder Ave, Russellville, AR",35.293186,-93.135701,"1509 N Boulder Ave, Russellville, AR",12101,16,,,,,,11/2/20,https://www.atu.edu/pandemicrecovery/,"Cases are on campus; 145on the Russellville campus, 1 on the Ozark campus; no cumulative cases listed"
Baptist Health College Little Rock,11900 COLONEL GLENN RD STE 1000,Little Rock,AR,"11900 COLONEL GLENN RD STE 1000, Little Rock, AR",34.7132868,-92.4071634,"11900 COLONEL GLENN RD STE 1000, Little Rock, AR",648,,,,,,,,,
