Country_Region,Lat,Long_,Confirmed,Deaths,Recovered
U.S.,39.381266,-97.922211,939053,53934,100721
Spain,40.463667,-3.74922,223759,22902,95708
Italy,41.87194,12.56738,195351,26384,63120
France,46.2276,2.2137,160292,22614,44594
Germany,51.165691,10.451526,156513,5877,109800
United Kingdom,55.3781,-3.436,148377,20319,0
Turkey,38.9637,35.2433,107773,2706,25582
Iran,32.427908,53.688046,89328,5650,68193
China,35.486703,101.901875,83909,4636,78175
Russia,61.52401,105.318756,74588,681,6250
Brazil,-14.235,-51.9253,59324,4057,29160
Canada,55.585901,-105.7506,45493,2549,16013
Belgium,50.8333,4.469936,45325,6917,10417
Netherlands,52.1326,5.2913,37190,4409,0
Switzerland,46.8182,8.2275,28894,1599,21300
India,20.593684,78.96288,26283,825,5939
Peru,-9.19,-75.0152,25331,700,7797
Portugal,39.3999,-8.2245,23392,880,1277
Ecuador,-1.8312,-78.1834,22719,576,1366
Ireland,53.1424,-7.6921,18561,1063,9233
Sweden,60.128161,18.643501,18177,2192,1005
Saudi Arabia,23.885942,45.079162,16299,136,2215
Israel,31.046051,34.851612,15298,199,6435
Austria,47.5162,14.5501,15148,536,12103
Mexico,23.6345,-102.5528,13842,1305,7149
Japan,36.204824,138.252924,13231,360,1656
Chile,-35.6751,-71.543,12858,181,6746
Pakistan,30.3753,69.3451,12723,269,2866
Singapore,1.2833,103.8333,12693,12,1002
Poland,51.9194,19.1451,11273,524,2126
"Korea, South",35.907757,127.766922,10728,242,8717
Romania,45.9432,24.9668,10635,601,2890
United Arab Emirates,23.424076,53.847818,9813,71,1887
Belarus,53.7098,27.9534,9590,67,1573
Qatar,25.3548,51.1839,9358,10,929
Indonesia,-0.7893,113.9213,8607,720,1042
Denmark,56.2639,9.5018,8445,418,5669
Ukraine,48.3794,31.1656,8125,201,782
Norway,60.472,8.4689,7499,201,32
Czechia,49.8175,15.473,7352,218,2453
Philippines,12.879721,121.774017,7294,494,792
Australia,-25.734968,134.489563,6694,80,4223
Serbia,44.0165,21.0059,6630,125,870
Dominican Republic,18.7357,-70.1627,5926,273,822
Malaysia,4.210484,101.975766,5742,98,3762
Panama,8.538,-80.7821,5538,159,338
Colombia,4.5709,-74.2973,5142,233,1067
Bangladesh,23.685,90.3563,4998,140,113
Finland,61.92411,25.748151,4475,186,2500
South Africa,-30.5595,22.9375,4361,86,1473
Egypt,26.820553,30.802498,4319,307,1114
Morocco,31.7917,-7.0926,3897,159,537
Argentina,-38.4161,-63.6167,3780,185,1030
Luxembourg,49.8153,6.1296,3711,85,3088
Moldova,47.4116,28.3699,3304,94,825
Algeria,28.0339,1.6596,3256,419,1479
Thailand,15.870032,100.992541,2907,51,2547
Kuwait,29.31166,47.481766,2892,19,656
Kazakhstan,48.0196,66.9237,2601,25,646
Bahrain,26.0275,50.55,2588,8,1160
Greece,39.0742,21.8243,2506,130,577
Hungary,47.1625,19.5033,2443,262,458
Croatia,45.1,15.2,2016,54,1034
Oman,21.512583,55.923255,1905,10,329
Uzbekistan,41.377491,64.585262,1862,8,707
Iceland,64.9631,-19.0208,1790,10,1570
Iraq,33.223191,43.679291,1763,86,1224
Armenia,40.0691,45.0382,1677,28,803
Estonia,58.5953,25.0136,1635,46,228
Azerbaijan,40.1431,47.5769,1617,21,1080
Cameroon,3.848,11.5021,1518,53,697
Bosnia and Herzegovina,43.9159,17.6791,1486,57,592
New Zealand,-40.9006,174.886,1470,18,1142
Afghanistan,33.93911,67.709953,1463,47,188
Lithuania,55.1694,23.8813,1426,41,460
Slovenia,46.1512,14.9955,1388,81,219
Slovakia,48.669,19.699,1373,17,386
North Macedonia,41.6086,21.7453,1367,59,374
Cuba,21.521757,-77.781167,1337,51,437
Ghana,7.9465,-1.0232,1279,10,134
